Hidden Layers 1,Hidden Layers 2,Batch Size,Weight Decay,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
10,5,32,1e-05,0.1,2000,0.29501575231552124,0.23414269089698792,0.585,0.615
10,5,32,1e-06,0.1,2000,0.3496798276901245,0.19862200319766998,0.64,0.72
10,5,32,1e-05,0.13,1500,0.23727118968963623,0.2307300567626953,0.51,0.57
10,5,32,1e-06,0.13,1500,0.28140509128570557,0.25167155265808105,0.49,0.505
10,5,32,1e-05,0.13,2000,0.11810988187789917,0.21642117202281952,0.64,0.685
10,5,32,1e-06,0.13,2000,0.1812145709991455,0.23140762746334076,0.6,0.62
10,10,16,1e-05,0.1,1500,0.18774354457855225,0.2425999641418457,0.625,0.67
10,10,16,1e-06,0.1,1500,0.21507905423641205,0.2518964409828186,0.595,0.6
10,10,16,1e-05,0.1,2000,0.2587125599384308,0.20235416293144226,0.65,0.675
10,10,16,1e-06,0.1,2000,0.2485584318637848,0.24905598163604736,0.61,0.605
10,10,16,1e-05,0.13,1500,0.22331452369689941,0.27960336208343506,0.58,0.485
10,10,16,1e-06,0.13,1500,0.32287779450416565,0.27822694182395935,0.57,0.57
10,10,16,1e-05,0.13,2000,0.28318890929222107,0.27077996730804443,0.535,0.51
10,10,16,1e-06,0.13,2000,0.20326264202594757,0.29514992237091064,0.62,0.575
10,10,32,1e-05,0.1,1500,0.2067658007144928,0.2218552529811859,0.635,0.685
10,10,32,1e-06,0.1,1500,0.27695751190185547,0.20684131979942322,0.645,0.655
10,10,32,1e-05,0.1,2000,0.2620399594306946,0.25255152583122253,0.71,0.69
10,10,32,1e-06,0.1,2000,0.19785049557685852,0.22602897882461548,0.71,0.69
10,10,32,1e-05,0.13,1500,0.26302793622016907,0.2546260356903076,0.615,0.675
10,10,32,1e-06,0.13,1500,0.3155929744243622,0.23807887732982635,0.54,0.58
10,10,32,1e-05,0.13,2000,0.10962773859500885,0.21500112116336823,0.65,0.695
10,10,32,1e-06,0.13,2000,0.4123418927192688,0.27480360865592957,0.55,0.595
10,15,16,1e-05,0.1,1500,0.31244468688964844,0.2287973165512085,0.6,0.605
10,15,16,1e-06,0.1,1500,0.24952994287014008,0.26626646518707275,0.64,0.645
10,15,16,1e-05,0.1,2000,0.19171926379203796,0.23988017439842224,0.6,0.615
10,15,16,1e-06,0.1,2000,0.229204922914505,0.24265533685684204,0.56,0.65
10,15,16,1e-05,0.13,1500,0.05975845083594322,0.27344509959220886,0.595,0.615
10,15,16,1e-06,0.13,1500,0.3635673224925995,0.2681770324707031,0.555,0.55
10,15,16,1e-05,0.13,2000,0.14248026907444,0.2638563811779022,0.55,0.65
10,15,16,1e-06,0.13,2000,0.35058140754699707,0.3318590223789215,0.525,0.51
10,15,32,1e-05,0.1,1500,0.21134606003761292,0.21245630085468292,0.53,0.635
10,15,32,1e-06,0.1,1500,0.35543909668922424,0.2876277267932892,0.565,0.56
10,15,32,1e-05,0.1,2000,0.2971169650554657,0.21785415709018707,0.715,0.62
10,15,32,1e-06,0.1,2000,0.2564343512058258,0.19505134224891663,0.675,0.75
10,15,32,1e-05,0.13,1500,0.4708099961280823,0.25342604517936707,0.565,0.575
