Hidden Layers 1,Hidden Layers 2,Batch Size,Dropout,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
15,5,16,0.005,0.13,1500,0.25704050064086914,0.2517046332359314,0.5,0.505
15,5,16,0.05,0.13,1500,0.24842201173305511,0.16199105978012085,0.765,0.8
15,5,16,0.1,0.13,1500,0.2919920086860657,0.13870681822299957,0.78,0.825
15,5,32,0.005,0.1,1500,0.1355995535850525,0.1366308331489563,0.78,0.78
15,5,32,0.05,0.1,1500,0.19292186200618744,0.10572323948144913,0.79,0.865
15,5,32,0.1,0.1,1500,0.23649077117443085,0.08073984086513519,0.855,0.895
15,5,32,0.005,0.13,1500,0.18696820735931396,0.19358158111572266,0.73,0.66
15,5,32,0.05,0.13,1500,0.0346045196056366,0.1045796126127243,0.795,0.845
15,5,32,0.1,0.13,1500,0.17207318544387817,0.12574121356010437,0.775,0.84
15,10,16,0.005,0.1,1500,0.11316978931427002,0.18621139228343964,0.68,0.715
15,10,16,0.05,0.1,1500,0.19330666959285736,0.10523401200771332,0.79,0.84
15,10,16,0.1,0.1,1500,0.2991092801094055,0.11052916198968887,0.805,0.895
15,10,16,0.005,0.13,1500,0.411685049533844,0.18858128786087036,0.68,0.68
15,10,16,0.05,0.13,1500,0.2586922347545624,0.25697752833366394,0.495,0.495
15,10,16,0.1,0.13,1500,0.24024340510368347,0.17909349501132965,0.76,0.785
15,10,32,0.005,0.1,1500,0.08568762242794037,0.1265631765127182,0.785,0.805
15,10,32,0.05,0.1,1500,0.21667177975177765,0.14167633652687073,0.8,0.76
15,10,32,0.1,0.1,1500,0.13707655668258667,0.09107300639152527,0.84,0.905
15,10,32,0.005,0.13,1500,0.2640322744846344,0.25914910435676575,0.5,0.5
15,10,32,0.05,0.13,1500,0.10099315643310547,0.09330116957426071,0.87,0.91
15,10,32,0.1,0.13,1500,0.24044060707092285,0.11483045667409897,0.785,0.795
15,15,16,0.005,0.1,1500,0.05044315755367279,0.19666975736618042,0.68,0.745
15,15,16,0.05,0.1,1500,0.13060232996940613,0.09087386727333069,0.835,0.905
15,15,16,0.1,0.1,1500,0.23688237369060516,0.17780464887619019,0.71,0.67
15,15,16,0.005,0.13,1500,0.16771234571933746,0.21519693732261658,0.72,0.71
15,15,16,0.05,0.13,1500,0.5117238759994507,0.1957876980304718,0.68,0.735
15,15,16,0.1,0.13,1500,0.3298282027244568,0.10886250436306,0.77,0.85
15,15,32,0.005,0.1,1500,0.1304459273815155,0.16843673586845398,0.72,0.775
15,15,32,0.05,0.1,1500,0.2026490718126297,0.10004182159900665,0.82,0.865
15,15,32,0.1,0.1,1500,0.06344452500343323,0.09455623477697372,0.85,0.855
15,15,32,0.005,0.13,1500,0.057977527379989624,0.1814405769109726,0.7,0.755
15,15,32,0.05,0.13,1500,0.2269165962934494,0.11113991588354111,0.775,0.855
15,15,32,0.1,0.13,1500,0.32548788189888,0.17138992249965668,0.69,0.8
